Currently_Investing,Investment_Types,Review_Frequency,Income_Investment_%,Risk_Appetite,Understanding_Level,Preference,Advisor_Type,Past_Loss_Experience,Reaction_To_Loss,Return_Expectation,Recommended_Investment,Recommendation_Reasoning,Recommendation_Confidence
No,None,Monthly,0,Moderate,Low,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
Yes,"Crypto, Mutual Funds, Stocks",Yearly,24,High,Medium,Long-Term,Self,Yes,Hold,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.65
No,None,Monthly,0,Moderate,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
Yes,Mutual Funds,Rarely,13,Moderate,Medium,Long-Term,Professional Advisor,Yes,Hold,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.6
Yes,"SIP, Stocks",Quarterly,22,High,Low,Long-Term,Self,No,N/A,High (>12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,"FD, Mutual Funds, SIP",Monthly,7,Moderate,Medium,Short-Term,Professional Advisor,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.65
No,None,Monthly,0,Moderate,Low,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"Gold, Mutual Funds, Stocks",Monthly,21,Moderate,Medium,Short-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.7
Yes,Mutual Funds,Rarely,8,Moderate,Medium,Both,Self,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
Yes,FD,Weekly,14,Low,Low,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.65
No,None,Quarterly,0,Moderate,High,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.65
Yes,"Crypto, Mutual Funds, Stocks",Rarely,16,High,Low,Long-Term,Self,No,N/A,High (>12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
No,None,Monthly,0,High,High,Short-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.7
No,None,Quarterly,2,Low,Medium,Long-Term,Self,Yes,Hold,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.45
Yes,"FD, Mutual Funds, SIP",Quarterly,4,Moderate,Low,Short-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
No,None,Quarterly,0,Low,Low,Short-Term,Self,Yes,Hold,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.45
Yes,"Crypto, Stocks",Monthly,19,High,High,Long-Term,Self,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.85
No,None,Weekly,0,High,Low,Long-Term,Self,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"Mutual Funds, SIP",Quarterly,9,Moderate,Low,Long-Term,Self,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
No,None,Rarely,3,High,Medium,Long-Term,Both,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
No,None,Monthly,0,Moderate,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
No,None,Monthly,0,Moderate,Medium,Long-Term,Self,Yes,Diversify,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.45
No,None,Monthly,0,Low,Low,Short-Term,Self,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"Mutual Funds, SIP, Stocks",Rarely,5,Moderate,Low,Long-Term,Self,Yes,Panic Sell,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.55
Yes,"Gold, Mutual Funds, SIP, Stocks",Monthly,9,Moderate,Low,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.65
No,None,Rarely,0,Moderate,Low,Long-Term,Self,Yes,Panic Sell,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.45
Yes,Mutual Funds,Monthly,15,Moderate,Medium,Long-Term,Self,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.7
Yes,"Crypto, Mutual Funds, Stocks",Rarely,25,High,Medium,Both,Professional Advisor,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.75
No,None,Quarterly,0,Low,Low,Both,Self,Yes,Hold,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.45
No,None,Yearly,0,Moderate,Medium,Long-Term,Self,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
No,None,Monthly,0,Moderate,Medium,Long-Term,Professional Advisor,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
Yes,Mutual Funds,Yearly,2,Moderate,High,Long-Term,Professional Advisor,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.8
Yes,Mutual Funds,Monthly,14,Moderate,High,Long-Term,Self,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.75
Yes,"FD, Gold",Weekly,11,Low,High,Long-Term,Professional Advisor,Yes,Diversify,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.75
Yes,"FD, Gold",Monthly,3,Low,Low,Long-Term,Self,Yes,Panic Sell,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.55
Yes,"Mutual Funds, SIP",Rarely,21,Moderate,Low,Both,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.75
Yes,Mutual Funds,Yearly,11,Moderate,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
No,None,Quarterly,0,Low,Low,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
Yes,"Gold, Mutual Funds, SIP",Quarterly,15,Moderate,Medium,Long-Term,Both,Yes,Diversify,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.7
No,None,Monthly,0,Moderate,Medium,Both,Both,Yes,Diversify,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"Mutual Funds, SIP",Rarely,17,Moderate,High,Long-Term,Both,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.9
No,None,Yearly,0,High,High,Long-Term,Self,Yes,Invest More,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.6
No,None,Yearly,0,Low,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"FD, Gold, Mutual Funds",Quarterly,10,Low,Medium,Both,Self,Yes,Hold,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.55
No,None,Never,0,Moderate,Medium,Short-Term,Professional Advisor,Yes,Hold,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
No,None,Rarely,0,Moderate,Low,Both,Professional Advisor,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
Yes,"Gold, Mutual Funds, SIP",Quarterly,8,Moderate,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
Yes,"Mutual Funds, SIP, Stocks",Monthly,23,High,Low,Long-Term,Both,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.75
No,None,Quarterly,0,High,Medium,Long-Term,Professional Advisor,Yes,Hold,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
No,None,Quarterly,5,High,Medium,Long-Term,Both,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
No,None,Monthly,0,Moderate,Medium,Short-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
No,None,Monthly,0,Moderate,Medium,Both,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"Mutual Funds, SIP, Stocks",Quarterly,14,Moderate,Medium,Long-Term,Self,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
No,None,Quarterly,7,Low,High,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.65
Yes,"Mutual Funds, Stocks",Quarterly,20,Moderate,Low,Short-Term,Self,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.7
Yes,"FD, Gold, Mutual Funds",Monthly,18,Low,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.75
Yes,"Crypto, Real Estate, Stocks",Yearly,19,High,Medium,Long-Term,Professional Advisor,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.75
Yes,"Mutual Funds, SIP",Quarterly,26,Moderate,Medium,Long-Term,Professional Advisor,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.7
Yes,"Mutual Funds, Stocks",Monthly,7,Moderate,High,Long-Term,Professional Advisor,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.8
Yes,Mutual Funds,Monthly,4,Moderate,Low,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
No,None,Rarely,0,Low,Medium,Both,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,FD,Yearly,2,Low,Medium,Long-Term,Self,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.6
Yes,"Mutual Funds, SIP",Monthly,27,Moderate,High,Both,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.85
Yes,"FD, Gold, Mutual Funds",Rarely,16,Low,Low,Short-Term,Self,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,"Mutual Funds, SIP",Monthly,0,Moderate,Medium,Long-Term,Self,Yes,Diversify,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.55
Yes,"Crypto, Mutual Funds, Stocks",Never,19,High,Medium,Long-Term,Self,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.7
Yes,"Crypto, Mutual Funds, SIP, Stocks",Monthly,16,High,Low,Long-Term,Self,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,Mutual Funds,Weekly,3,Moderate,Medium,Both,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.65
No,None,Quarterly,0,Low,Medium,Short-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"Mutual Funds, SIP, Stocks",Monthly,18,High,Medium,Short-Term,Self,Yes,Diversify,High (>12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), FD / Liquid Funds for short-term goals",High risk appetite -> equity-heavy allocation for higher expected returns. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.65
Yes,"Crypto, Stocks",Quarterly,16,High,High,Both,Self,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.85
Yes,FD,Yearly,7,Low,Medium,Long-Term,Both,Yes,Hold,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.6
No,None,Rarely,0,Moderate,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"FD, Mutual Funds",Quarterly,12,Low,Medium,Long-Term,Self,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.6
Yes,"Mutual Funds, Stocks",Quarterly,16,High,Low,Both,Professional Advisor,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.75
Yes,"Crypto, SIP, Stocks",Monthly,20,High,Low,Short-Term,Professional Advisor,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.75
Yes,"FD, Gold",Weekly,7,Low,Medium,Short-Term,Both,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.65
Yes,"Crypto, Stocks",Quarterly,26,High,Medium,Long-Term,Self,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.7
Yes,Mutual Funds,Monthly,14,Moderate,Low,Both,Self,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,Stocks,Yearly,18,High,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.7
Yes,"Mutual Funds, Real Estate",Quarterly,7,Moderate,Medium,Long-Term,Professional Advisor,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Balanced Portfolio + RE exposure",Moderate risk -> mix of equity via SIPs and debt for stability. Existing real-estate investment suggests maintaining diversification.,0.6
Yes,"Crypto, Stocks",Monthly,9,High,Low,Long-Term,Self,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
No,None,Quarterly,0,Low,Medium,Both,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
No,None,Monthly,0,Low,Low,Both,Self,Yes,Hold,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.45
No,None,Quarterly,0,Low,High,Both,Self,No,N/A,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.65
No,None,Yearly,3,High,High,Short-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.65
Yes,"SIP, Stocks",Quarterly,8,High,Medium,Short-Term,Professional Advisor,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), FD / Liquid Funds for short-term goals",High risk appetite -> equity-heavy allocation for higher expected returns. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.65
Yes,"Crypto, Stocks",Monthly,20,High,Low,Long-Term,Professional Advisor,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.75
Yes,"Crypto, Mutual Funds, SIP, Stocks",Yearly,23,High,Medium,Both,Self,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.7
Yes,"FD, Mutual Funds",Monthly,4,Low,High,Long-Term,Self,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.75
No,None,Yearly,0,Moderate,Medium,Long-Term,Professional Advisor,Yes,Hold,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"FD, Gold",Quarterly,2,Low,Low,Long-Term,Self,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.6
No,None,Quarterly,0,Low,Medium,Short-Term,Self,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,FD,Rarely,16,Low,High,Long-Term,Self,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.85
No,None,Yearly,3,Moderate,Medium,Long-Term,Professional Advisor,Yes,Hold,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"FD, Gold",Weekly,15,Low,Medium,Long-Term,Both,Yes,Diversify,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.7
Yes,FD,Monthly,8,Low,Medium,Long-Term,Professional Advisor,Yes,Hold,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.6
Yes,FD,Rarely,0,Low,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.6
Yes,"FD, Mutual Funds",Weekly,12,Low,Low,Long-Term,Self,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
